Type,Word,Prior Polarity
weaksubj,abandoned,negative
weaksubj,abandonment,negative
weaksubj,abandon,negative
strongsubj,abase,negative
strongsubj,abasement,negative
strongsubj,abash,negative
weaksubj,abate,negative
weaksubj,abdicate,negative
strongsubj,aberration,negative
strongsubj,aberration,negative
strongsubj,abhor,negative
strongsubj,abhor,negative
strongsubj,abhorred,negative
strongsubj,abhorrence,negative
strongsubj,abhorrent,negative
strongsubj,abhorrently,negative
strongsubj,abhors,negative
strongsubj,abhors,negative
strongsubj,abidance,positive
strongsubj,abidance,positive
strongsubj,abide,positive
strongsubj,abject,negative
strongsubj,abjectly,negative
weaksubj,abjure,negative
weaksubj,abilities,positive
weaksubj,ability,positive
weaksubj,able,positive
weaksubj,abnormal,negative
weaksubj,abolish,negative
strongsubj,abominable,negative
strongsubj,abominably,negative
strongsubj,abominate,negative
strongsubj,abomination,negative
weaksubj,above,positive
weaksubj,above-average,positive
weaksubj,abound,positive
weaksubj,abrade,negative
strongsubj,abrasive,negative
weaksubj,abrupt,negative
strongsubj,abscond,negative
weaksubj,absence,negative
weaksubj,absentee,negative
strongsubj,absent-minded,negative
strongsubj,absolve,positive
strongsubj,absolute,neutral
strongsubj,absolutely,neutral
weaksubj,absorbed,neutral
strongsubj,absurd,negative
strongsubj,absurdity,negative
strongsubj,absurdly,negative
strongsubj,absurdness,negative
weaksubj,abundant,positive
weaksubj,abundance,positive
weaksubj,abuse,negative
weaksubj,abuse,negative
strongsubj,abuse,negative
weaksubj,abuses,negative
weaksubj,abuses,negative
strongsubj,abusive,negative
strongsubj,abysmal,negative
strongsubj,abysmally,negative
strongsubj,abyss,negative
strongsubj,accede,positive
strongsubj,accentuate,neutral
weaksubj,accept,positive
weaksubj,acceptance,positive
weaksubj,acceptable,positive
weaksubj,accessible,positive
weaksubj,accidental,negative
strongsubj,acclaim,positive
strongsubj,acclaim,positive
strongsubj,acclaimed,positive
strongsubj,acclamation,positive
strongsubj,accolade,positive
strongsubj,accolades,positive
weaksubj,accommodative,positive
weaksubj,accomplish,positive
weaksubj,accomplishment,positive
weaksubj,accomplishments,positive
weaksubj,accord,positive
weaksubj,accordance,positive
weaksubj,accordantly,positive
weaksubj,accost,negative
weaksubj,accountable,negative
weaksubj,accurate,positive
weaksubj,accurately,positive
strongsubj,accursed,negative
strongsubj,accusation,negative
strongsubj,accusation,negative
strongsubj,accusations,negative
strongsubj,accusations,negative
strongsubj,accuse,negative
strongsubj,accuses,negative
strongsubj,accusing,negative
strongsubj,accusingly,negative
strongsubj,acerbate,negative
strongsubj,acerbic,negative
strongsubj,acerbically,negative
strongsubj,ache,negative
weaksubj,achievable,positive
weaksubj,achieve,positive
weaksubj,achievement,positive
weaksubj,achievements,positive
weaksubj,acknowledge,positive
weaksubj,acknowledgement,positive
weaksubj,acquit,positive
strongsubj,acrid,negative
strongsubj,acridly,negative
strongsubj,acridness,negative
strongsubj,acrimonious,negative
strongsubj,acrimoniously,negative
strongsubj,acrimony,negative
weaksubj,active,positive
strongsubj,activist,neutral
strongsubj,activist,neutral
strongsubj,actual,neutral
strongsubj,actuality,neutral
strongsubj,actually,neutral
strongsubj,acumen,positive
strongsubj,adamant,negative
strongsubj,adamantly,negative
weaksubj,adaptable,positive
weaksubj,adaptability,positive
weaksubj,adaptive,positive
weaksubj,addict,negative
weaksubj,addiction,negative
weaksubj,adept,positive
weaksubj,adeptly,positive
weaksubj,adequate,positive
weaksubj,adherence,positive
weaksubj,adherent,positive
weaksubj,adhesion,positive
strongsubj,admirable,positive
strongsubj,admirer,positive
strongsubj,admirable,positive
strongsubj,admirably,positive
strongsubj,admiration,positive
strongsubj,admire,positive
strongsubj,admiring,positive
strongsubj,admiringly,positive
weaksubj,admission,positive
weaksubj,admission,positive
strongsubj,admit,positive
strongsubj,admittedly,positive
strongsubj,admonish,negative
strongsubj,admonisher,negative
strongsubj,admonishingly,negative
strongsubj,admonishment,negative
strongsubj,admonition,negative
strongsubj,adolescents,neutral
strongsubj,adolescents,neutral
strongsubj,adorable,positive
strongsubj,adore,positive
strongsubj,adored,positive
strongsubj,adorer,positive
strongsubj,adorer,positive
strongsubj,adoring,positive
strongsubj,adoringly,positive
weaksubj,adrift,negative
strongsubj,adroit,positive
strongsubj,adroitly,positive
strongsubj,adulate,positive
strongsubj,adulation,positive
strongsubj,adulatory,positive
strongsubj,adulterate,negative
strongsubj,adulterated,negative
strongsubj,adulteration,negative
weaksubj,advanced,positive
weaksubj,advantage,positive
weaksubj,advantage,positive
strongsubj,advantageous,positive
weaksubj,advantages,positive
weaksubj,advantages,positive
weaksubj,adventure,positive
weaksubj,adventure,positive
strongsubj,adventuresome,positive
strongsubj,adventurism,positive
weaksubj,adventurous,positive
weaksubj,adversarial,negative
weaksubj,adversary,negative
weaksubj,adverse,negative
strongsubj,adversity,negative
weaksubj,advice,positive
weaksubj,advice,positive
weaksubj,advisable,positive
strongsubj,advocate,positive
strongsubj,advocacy,positive
strongsubj,affable,positive
weaksubj,affability,positive
weaksubj,affably,positive
weaksubj,affect,neutral
weaksubj,affectation,negative
strongsubj,affected,neutral
strongsubj,affection,positive
strongsubj,affection,positive
strongsubj,affectionate,positive
weaksubj,affinity,positive
strongsubj,affirm,positive
strongsubj,affirmation,positive
strongsubj,affirmation,positive
weaksubj,affirmative,positive
weaksubj,afflict,negative
weaksubj,affliction,negative
strongsubj,afflictive,negative
weaksubj,affluent,positive
weaksubj,affluence,positive
weaksubj,afford,positive
weaksubj,affordable,positive
strongsubj,affront,negative
strongsubj,affront,negative
weaksubj,afloat,positive
strongsubj,afraid,negative
weaksubj,against,negative
strongsubj,aggravate,negative
strongsubj,aggravating,negative
strongsubj,aggravation,negative
strongsubj,aggression,negative
strongsubj,aggression,negative
strongsubj,aggressive,negative
strongsubj,aggressiveness,negative
strongsubj,aggressor,negative
strongsubj,aggrieve,negative
strongsubj,aggrieved,negative
strongsubj,aghast,negative
weaksubj,agile,positive
weaksubj,agilely,positive
weaksubj,agility,positive
strongsubj,agitate,negative
strongsubj,agitated,negative
strongsubj,agitation,negative
strongsubj,agitator,negative
strongsubj,agonies,negative
strongsubj,agonize,negative
strongsubj,agonizing,negative
strongsubj,agonizing,negative
strongsubj,agonizingly,negative
strongsubj,agony,negative
strongsubj,agree,positive
strongsubj,agreeability,positive
weaksubj,agreeable,positive
strongsubj,agreeable,positive
strongsubj,agreeableness,positive
strongsubj,agreeably,positive
weaksubj,agreement,positive
weaksubj,agreement,positive
strongsubj,aha,neutral
weaksubj,ail,negative
weaksubj,ail,negative
weaksubj,ailment,negative
strongsubj,aimless,negative
strongsubj,air,neutral
weaksubj,airs,negative
weaksubj,airs,negative
weaksubj,alarm,negative
weaksubj,alarm,negative
strongsubj,alarmed,negative
strongsubj,alarming,negative
strongsubj,alarmingly,negative
strongsubj,alas,negative
weaksubj,alert,neutral
weaksubj,alienate,negative
weaksubj,alienated,negative
weaksubj,alienation,negative
weaksubj,all-time,neutral
weaksubj,all-time,neutral
strongsubj,allay,positive
strongsubj,allegation,negative
strongsubj,allegations,negative
weaksubj,allege,negative
strongsubj,allegations,negative
strongsubj,allegorize,neutral
weaksubj,allergic,negative
weaksubj,alleviate,positive
strongsubj,alliance,neutral
strongsubj,alliances,neutral
strongsubj,alliances,neutral
weaksubj,allow,positive
weaksubj,allowable,positive
strongsubj,allure,positive
strongsubj,allure,positive
strongsubj,alluring,positive
strongsubj,alluringly,positive
strongsubj,allusion,neutral
strongsubj,allusion,neutral
strongsubj,allusions,neutral
strongsubj,ally,positive
strongsubj,almighty,positive
strongsubj,aloof,negative
weaksubj,altercation,negative
weaksubj,although,negative
strongsubj,altogether,neutral
strongsubj,altruist,positive
strongsubj,altruistic,positive
strongsubj,altruistically,positive
strongsubj,amaze,positive
strongsubj,amazed,positive
strongsubj,amazement,positive
strongsubj,amazing,positive
strongsubj,amazing,positive
strongsubj,amazingly,positive
strongsubj,ambiguous,negative
strongsubj,ambiguity,negative
weaksubj,ambitious,positive
weaksubj,ambitious,positive
weaksubj,ambitiously,positive
strongsubj,ambivalence,negative
strongsubj,ambivalent,negative
strongsubj,ambivalent,negative
weaksubj,ambush,negative
weaksubj,ambush,negative
strongsubj,ameliorate,positive
strongsubj,amenable,positive
weaksubj,amenity,positive
strongsubj,amiability,positive
strongsubj,amiabily,positive
strongsubj,amiable,positive
strongsubj,amicability,positive
strongsubj,amicable,positive
strongsubj,amicably,positive
strongsubj,amiss,negative
weaksubj,amity,positive
weaksubj,amity,positive
weaksubj,amnesty,positive
strongsubj,amour,positive
weaksubj,ample,positive
weaksubj,amply,positive
weaksubj,amplify,neutral
weaksubj,amputate,negative
strongsubj,amuse,positive
strongsubj,amusement,positive
strongsubj,amusement,positive
strongsubj,amusing,positive
strongsubj,amusing,positive
strongsubj,amusingly,positive
weaksubj,analytical,neutral
strongsubj,anarchism,negative
strongsubj,anarchist,negative
strongsubj,anarchistic,negative
strongsubj,anarchy,negative
weaksubj,anemic,negative
weaksubj,angel,positive
strongsubj,angelic,positive
strongsubj,anger,negative
strongsubj,anger,negative
strongsubj,anger,negative
strongsubj,angrily,negative
strongsubj,angriness,negative
strongsubj,angry,negative
strongsubj,anguish,negative
strongsubj,anguish,negative
strongsubj,annihilate,negative
strongsubj,annihilation,negative
weaksubj,animated,positive
strongsubj,animosity,negative
strongsubj,annoy,negative
strongsubj,annoyance,negative
strongsubj,annoyed,negative
strongsubj,annoying,negative
strongsubj,annoying,negative
strongsubj,annoyingly,negative
weaksubj,anomalous,negative
weaksubj,anomaly,negative
strongsubj,antagonism,negative
weaksubj,antagonist,negative
strongsubj,antagonistic,negative
strongsubj,antagonize,negative
strongsubj,anti-,negative
strongsubj,anti-American,negative
strongsubj,anti-American,negative
strongsubj,anti-Israeli,negative
strongsubj,anti-Israeli,negative
strongsubj,anti-Semites,negative
strongsubj,anti-Semites,negative
strongsubj,anti-US,negative
strongsubj,anti-US,negative
strongsubj,anti-occupation,negative
strongsubj,anti-occupation,negative
strongsubj,anti-proliferation,negative
strongsubj,anti-proliferation,negative
strongsubj,anti-social,negative
strongsubj,anti-white,negative
strongsubj,anti-white,negative
strongsubj,antipathy,negative
strongsubj,antiquated,negative
strongsubj,antithetical,negative
strongsubj,antithetical,negative
strongsubj,anxieties,negative
strongsubj,anxiety,negative
strongsubj,anxious,negative
strongsubj,anxiously,negative
strongsubj,anxiousness,negative
strongsubj,anyhow,neutral
strongsubj,anyway,neutral
strongsubj,anyways,neutral
strongsubj,apathetic,negative
strongsubj,apathetic,negative
strongsubj,apathetically,negative
strongsubj,apathy,negative
strongsubj,ape,negative
strongsubj,apocalypse,negative
strongsubj,apocalyptic,negative
strongsubj,apologist,negative
strongsubj,apologist,negative
strongsubj,apologists,negative
strongsubj,apologists,negative
strongsubj,apostle,positive
strongsubj,apostle,positive
strongsubj,apotheosis,positive
strongsubj,apotheosis,positive
strongsubj,appal,negative
strongsubj,appall,negative
strongsubj,appall,negative
strongsubj,appall,negative
strongsubj,appalled,negative
strongsubj,appalling,negative
strongsubj,appallingly,negative
weaksubj,apparent,neutral
weaksubj,apparently,neutral
weaksubj,appeal,positive
weaksubj,appeal,positive
weaksubj,appeal,positive
strongsubj,appealing,positive
weaksubj,appear,neutral
weaksubj,appearance,neutral
weaksubj,appearance,neutral
weaksubj,appease,positive
strongsubj,applaud,positive
weaksubj,appreciable,positive
strongsubj,appreciate,positive
strongsubj,appreciation,positive
strongsubj,appreciation,positive
strongsubj,appreciative,positive
strongsubj,appreciatively,positive
strongsubj,appreciativeness,positive
weaksubj,apprehend,neutral
strongsubj,apprehension,negative
strongsubj,apprehensions,negative
strongsubj,apprehensions,negative
strongsubj,apprehensive,negative
strongsubj,apprehensive,negative
strongsubj,apprehensively,negative
weaksubj,appropriate,positive
weaksubj,approval,positive
weaksubj,approve,positive
weaksubj,apt,positive
weaksubj,aptly,positive
weaksubj,aptitude,positive
strongsubj,arbitrary,negative
strongsubj,arcane,negative
strongsubj,archaic,negative
strongsubj,ardent,positive
strongsubj,ardently,positive
strongsubj,ardor,positive
strongsubj,arduous,negative
strongsubj,arduously,negative
weaksubj,aristocratic,positive
strongsubj,argue,negative
weaksubj,argument,negative
weaksubj,argument,negative
strongsubj,argumentative,negative
weaksubj,arguments,negative
weaksubj,arguments,negative
strongsubj,arousal,positive
strongsubj,arouse,positive
strongsubj,arousing,positive
strongsubj,arresting,positive
strongsubj,arrogance,negative
strongsubj,arrogant,negative
strongsubj,arrogant,negative
strongsubj,arrogantly,negative
strongsubj,arrogantly,negative
strongsubj,articulate,positive
weaksubj,artificial,negative
strongsubj,ascendant,positive
strongsubj,ascendant,positive
strongsubj,ascertainable,positive
strongsubj,ascertainable,positive
strongsubj,ashamed,negative
