,season,episode,geo,text
0,season1,Winter_Is_Coming,Beyond the Wall,"[""Three rangers of the Night's Watch: Ser Waymar Royce, Will, and Gared depart from the Wall to investigate reports of wildlings in the Haunted Forest which lies to the north, Beyond the Wall. Will, the best scout in the group, discovers a number of wildling corpses dismembered and arranged in a strange, ritualistic fashion on the ground. He also finds a dead wildling girl pinned to a tree.\n"", 'Wight of wildling girl.', ""He reports back to the others. Ser Waymar overrides the older Gared's advice that they return to Castle Black to report the situation to Lord Commander of the Night's Watch Jeor Mormont. He instead insists on seeing the corpses for himself to determine what killed them. When they reach the site, the bodies have disappeared. Will scouts around for clues, but Gared finds a bloody piece of clothing buried under the snow. Further investigations are curtailed when a tall, humanoid figure with glowing blue eyes, a White Walker, arrives and kills Ser Waymar with ease. Gared attempts to escape but is caught and killed. Will, in abject horror, sees the dead wildling girl from earlier who is now walking with blue eyes, and also witnesses Gared's death, with the White Walker tossing his severed head at Will's feet.\n""]"
1,season1,Winter_Is_Coming,In Pentos,"['In the Free City of Pentos, across the Narrow Sea, Viserys and Daenerys Targaryen live in the hospitality of Magister Illyrio Mopatis. Viserys has arranged to wed his sister Daenerys (also called ""Dany"") to Khal Drogo, the warlord of a Dothraki khalasar of forty thousand warriors. In return, Drogo will give Viserys the army he needs to reclaim the Iron Throne. Viserys prepares Daenerys for meeting the Khal. He tells her what a beautiful young woman she has turned into, and slips off her dress and fondles her breast. She is silent and looks away as if pretending it isn\'t happening. She steps into a hot bath that has just been drawn. This greatly distresses her maid, who believes the water will scald her. However, Daenerys seems not to notice it and appears to be unharmed.\n', 'Drogo arrives in Pentos and approves of Daenerys.', ""Illyrio and Viserys discuss the quest to sail back to Westeros, and Viserys inquires when the wedding will take place. Daenerys is not pleased with the arrangement and blurts out that she does not want to marry Drogo. Viserys insists that Daenerys will marry him, because in return, Drogo will give Viserys the army he needs to retake their father's throne from Robert Baratheon. Viserys adds that he would let his sister be raped by all forty thousand of Drogo's men and their horses if it meant getting his throne back. A short time later, Drogo arrives at Illyrio's estate. After taking a glance at Daenerys, Drogo rides away without dismounting from his horse. Viserys is concerned, but Illyrio assures him that, if he did not approve of Daenerys, they would have known.\n"", 'Daenerys in her wedding dress', 'Later, Daenerys marries Khal Drogo and a great celebration is held. Several people die in impromptu duels, which Illyrio says is a good sign: ""a\xa0Dothraki wedding without at least three deaths is considered a dull affair."". The bride and groom receive many gifts, but for Dany, two are particularly interesting. The first is a selection of books containing stories and songs from the Seven Kingdoms, given to her by Ser Jorah Mormont, an exiled knight of House Mormont. Ser Jorah swears fealty to Viserys as King and offers him his support and advice, which is accepted. The second is a box containing three beautiful, scaly stones. According to Illyrio, these are dragon eggs from the Shadow Lands beyond Asshai that have turned to stone with the passing of time. Dany appears to feel some connection with the eggs, but brushes it off for the time being. For his gift, Drogo gives\xa0Daenerys a beautiful white mare. Viserys tells his sister to make Drogo happy. Drogo and Daenerys ride down to the shore and consummate their marriage on the beach at sunset.\xa0Daenerys is visibly upset and terrified.\n']"
2,season1,Winter_Is_Coming,In King's Landing,"[""In King's Landing, the capital city of the Seven Kingdoms, the bells ring out to commemorate the death of Lord Jon Arryn, the Hand of the King. As the Silent Sisters prepare his body for burial, Queen Cersei Lannister looks on. She is worried that Jon discovered something he shouldn't have, and may have told someone. She confesses her fears to her twin brother, Ser Jaime Lannister of the Kingsguard, but he tells her not to worry, since if the King knew the truth they'd be dead already. She tells him he should be the new Hand of the King, but he doesn't want the job. He considers it too much work. Cersei accuses him of taking nothing seriously.\n""]"
3,season1,Winter_Is_Coming,In the North,"['Ned Stark draws his sword.', 'Some time later, Will has fled south of the Wall in terror, rather than return to warn Castle Black of the White Walker threat. He is apprehended by outriders loyal to House Stark, the wardens of the North, and is taken to Lord Eddard Stark.\n', 'Meanwhile, Lord Eddard ""Ned"" Stark is at Winterfell with his wife and family. Ned and Catelyn watch their 10-year old son Bran Stark practice archery while he is being helped by Robb Stark, Ned and Catelyn\'s eldest son, and Ned\'s illegitimate son Jon Snow, both 17. Robb and Jon can\'t help laughing when Bran\'s latest arrow goes high over the wall, even worse than the last shot, but after Eddard amusedly chides the two, encourages Bran to keep at it. The youngest son, 6-year old Rickon Stark, watches his brothers until Ned and Catelyn\'s youngest daughter, 11-year old Arya Stark - who has left needlework where their 13-year old daughter\xa0Sansa Stark is - hits Bran\'s bullseye with an arrow before Bran can. Bran chases Arya while Ned, Catelyn, Robb and Jon laugh until Ned receives news that a Night\'s Watch deserter has been found.\n', 'The law decrees that as a deserter from the Watch, Will is an oathbreaker and must be executed. Ned takes three of his sons with him - Robb, Jon, and Bran - to witness the execution due to it being a Stark custom among sons to carry out executions themselves. Also joining Eddard is his ward Theon Greyjoy, the master-at-arms Rodrik Cassel\xa0and his leading guard Jory Cassel. Will accepts his fate, but tells Eddard about the Walkers first and asks that word be sent back to his mother. Eddard carries out the execution himself, using the ancestral Valyrian blade of their house, Ice. Young Bran witnesses an execution for the first time without flinching, earning praise from his half-brother Jon. Eddard explains to Bran that the reason he was made to execute Will was because ""the man who passes the sentence should swing the sword."" When Bran asks his father about Will\'s talk of White Walkers, Eddard dismisses it as a madman\'s ramblings, insisting that the Walkers have been gone for centuries. The party sets out for\xa0Winterfell.\n', 'The Starks come across the Direwolves.', ""On the way back to the castle, the party finds a stag dead in the road, partially disemboweled. Theon wonders if it's the work of a mountain lion, but Eddard states that none live in the area. Looking for what killed it, they find a rare dead female direwolf, killed with a stag antler piece broken off in her throat. The female died after giving birth, and her five pups huddle by the corpse for warmth.\xa0Eddard advocates killing the pups out of mercy rather than have them starve to death, but Jon Snow convinces his father that this is an omen: the direwolf is the symbol of House Stark, and Eddard has five trueborn children. With Bran looking on beseechingly, Eddard agrees to allow it, but only if they care for and raise the pups themselves; even if one should die, the owner will be the one to bury it. Just as the party leaves, Jon finds a sixth pup, an albino runt of the litter. Theon mockingly points out that this one belongs to Jon, but Jon nonetheless adopts the sixth pup.\n"", ""A raven bears news of Jon Arryn's death to Winterfell, where Lady Catelyn Stark informs Eddard. He is particularly stricken because Arryn served as a father-figure to him when he was fostered at the Eyrie. She also tells him that King Robert Baratheon and much of the royal court rides for Winterfell. Eddard realizes that King Robert means to name him as the Hand to replace Jon Arryn. He ponders refusal, feeling his place is at Winterfell.\n"", ""Over the next few weeks, the Stark children grow used to their rapidly-growing direwolves: Robb names his Grey Wind,\xa0Sansa calls hers Lady, and Arya names hers Nymeria after a great warrior-queen. Jon names his Ghost, for his white color and uncanny silence. Bran calls his Summer and six-year-old Rickon names his wolf Shaggydog. Bran's mother catches him climbing on the rooftops of the castle, just as the royal party comes into view. He promises to stop, but his mother knows he is lying. Winterfell prepares for guests. Catelyn Stark wants to make sure that Tyrion Lannister, a great reader, has enough candles, and the young men of the house get groomed, as they gossip about the queen, a reportedly great beauty.\n"", 'Winterfell gathers to greet the royal party.', 'All of Winterfell gathers in the courtyard as the royal party approaches. Arya is late and annoys Sansa by not being silent and respectful when they arrive. King Robert rides in with his knights, while Queen Cersei is in a large wheelhouse. Lord Eddard presents his household to King Robert. Eddard and Robert greet each other warmly, and then Robert demands to see the crypts and pay his respects to Eddard\'s deceased sister, Lyanna, much to Queen Cersei\'s impatience. After Robert and Eddard depart, Cersei sends Jaime to find their younger brother Tyrion,\xa0who is a dwarf. ""The Imp"" has found his way to the brothel in the town outside Winterfell, where he enjoys the attentions of a prostitute named Ros. Jaime tells Tyrion, a man of limited height but with immense appetites, that he will be needed at the feast that night. Jaime has hired three more prostitutes for Tyrion, to hurry things along.\n', ""Lyanna's statue in the crypts of Winterfell."", 'In the crypts Robert offers up his prayers at the tomb of Lyanna Stark, Eddard\'s younger sister, whom Robert was betrothed to before she was allegedly kidnapped by Prince Rhaegar Targaryen. Lyanna died shortly after she was found. He tells Eddard that in his dreams he kills Rhaegar every night anew. Eddard reminds him that House Targaryen was destroyed, but\xa0Robert replies: ""not all of them.""\n', 'Robert formally offers Eddard the role of Hand, and Eddard asks for time to consider. Robert agrees, but offers a sweetener: the hand of his son, Joffrey, in marriage to Eddard\'s daughter, Sansa. A great feast is held and Cersei and Catelyn exchange cordial words. Cersei seems more impressed by Sansa, thinking that she will be a great hit at court. Outside the feast, Jon Snow works at his sword practice, angry that Catelyn thought it would be inappropriate that a bastard should attend. His uncle Benjen Stark, First Ranger of the Night\'s Watch, arrives to join the feast, and Jon asks him to take him back to the Wall with him. Benjen agrees to consider it. Tyrion Lannister then arrives and talks to Jon, suggesting that he is too pricklish and quick to take offense when his illegitimacy is pointed out. He should take the insult and wear it like armor, so that no one can hurt him with it. When Jon angrily asks Tyrion what he knows about it, Tyrion replies that ""all dwarfs are bastards in their father\'s eyes.""\n', ""Eddard and Catelyn receive a letter in the night, delivered to Maester Luwin by a messenger from the Eyrie. The letter is from Catelyn's sister, Lady Lysa Arryn, the widow of Jon Arryn. In the letter, Lysa says that Jon Arryn was murdered by the Lannisters and that they plan to conspire against King Robert. Luwin counsels that Eddard should accept Robert's offer to be Hand, so he can investigate the truth of the matter and protect the King. Eddard, while he would prefer to stay at Winterfell, agrees with Luwin and accepts the offer.\n"", 'The next morning Eddard and Robert go hunting, leaving the castle largely empty. Bran indulges in some climbing but, while climbing a broken tower, he hears someone moaning. He peers through a window and finds the queen and her brother engaged in a sexual act. Cersei spots him and warns Jaime, who grabs Bran. Jaime looks out the window to make sure nobody else is watching and only sees Summer. He turns to Bran and asks how old he is. When Bran replies ""ten,"" Jaime remarks with a sigh, ""The things I do for love."" With that, he pushes Bran out of the window.\n']"
4,season1,The_Kingsroad,In the Dothraki Sea,"[""The Dothraki khalasar led by Khal Drogo have departed Pentos and are heading east. They travel away from the Free Cities and into the Dothraki sea, the long-grassed plains that the Dothraki call home. Viserys Targaryen accompanies the khalasar, meaning to stay with Drogo until he fulfills his end of the bargain and provides him with an army with which to invade Westeros, despite Ser Jorah Mormont's suggestion. He tells Viserys that he offended his liege lord, Eddard Stark, by selling poachers into slavery. When he received word that Eddard meant to execute him for the crime (slavery has been illegal in Westeros for centuries), he fled to Essos. Viserys laughs at the notion, saying such trivialities would not be punished under his reign. Daenerys is finding adapting to her new role as khaleesi to be a huge challenge. Only Mormont offers her some solace, telling her it will become easier. Daenerys is however fearful of her new husband and it is revealed that their first sexual encounter has left her slightly injured.\n"", ""One evening, Drogo spends time drinking with his warriors before going into his tent to pay a visit to Daenerys. He violently takes her from behind, and she is visibly uncomfortable, only finding solace in her gift from Illyrio. Later, an increasingly curious Dany asks her handmaidens if they have ever heard of dragons surviving in the east. They reply no, but Doreah, a former pleasure-girl from Lys, tells her an old story about how there used to be two moons in the sky. One wandered too close to the sun and cracked like an egg, spilling out thousands of dragons into the world. Dany's Dothraki handmaidens Irri\xa0and Jhiqui\xa0dismiss the story, saying that the moon is a goddess, wife to the sun.\n"", 'Daenerys seeks the advice of her handmaid Doreah, who instructs Daenerys on how to please Drogo in bed but also how to use her skills to gain respect from him. Doreah tells Daenerys, ""You are no slave,"" and that Daenerys should not have sex like one. Daenerys nervously puts these plans into action and is surprised to find Drogo responsive, particularly once she starts using her body in combination with the Dothraki language to speak to him.\n']"
5,season1,The_Kingsroad,In the North,"['Robb Stark says farewell to Jon.', ""In Winterfell, Bran Stark lies unconscious and badly wounded, his mother by his side. Tyrion Lannister insists to his nephew Joffrey\xa0that Joffrey pay his respects to Lord and Lady Stark, since his absence has been noted. When Joffrey refuses, saying the boy means nothing to him, Tyrion slaps Joffrey three times until he accepts his uncle's suggestion. Tyrion then breakfasts with his other family members, informing them of his decision to journey north to see the Wall before returning to King's Landing. He also tells them that Bran is expected to live and notes Cersei and Jaime's guarded reactions.\n"", ""Cersei visits Catelyn Stark, who is sitting by her son's side, and tells her that her first child, a beautiful, black-haired boy, died of a fever. She and Robert were grief-stricken and her prayers and tears were for naught. She offers to pray for Bran's survival, hoping that this time the gods will listen.\n"", 'Jon Snow has Winterfell\'s blacksmith, Mikken, forge a light sword for his sister, Arya. Arya is excited by the gift and names it Needle. Jon also gives her advice on how to best use the weapon: ""Stick them with the pointy end."" Jon urges Arya to practice every chance she gets and they hug. Jon then visits his still-comatose Bran to say his farewells and kisses his forehead, before departing at his stepmother\'s cold request. Eddard then says his goodbyes to his son and to a grieved Catelyn, who is angered at his departure while Bran remains ill.\xa0Outside, Robb and Jon hug each other before they depart, hoping to see each other soon.      \n', 'The two parties depart Winterfell.', 'The parties depart Winterfell: Jon, Tyrion and Benjen Stark to the Wall; and Eddard, Arya, Sansa and the royal party south to King\'s Landing. At their parting, Eddard tells Jon, ""You are a Stark. You might not have my name, but you have my blood."" Ned also promises Jon to tell him about his mother the next time they see one another.       \n', 'Eddard Stark says goodbye to his bastard son.', ""Days later, on the Kingsroad south to the capital, King Robert Baratheon calls a halt to discuss with Eddard some dire news that has just arrived. Robert's spies have learned of Daenerys Targaryen's marriage to Khal Drogo, whose khalasar is reported to number over one hundred thousand warriors. Eddard points out that the Dothraki cannot cross the Narrow Sea, as they have no ships, but Robert is concerned that the Seven Kingdoms will soon face another war. A curious Robert asks Eddard about Wylla, the mother of his bastard son, but Eddard refuses to enlighten him. Robert reminds him that at that time, they were in the middle of a war and no one knew if they would ever return to their families.\n"", ""In Winterfell, Catelyn's refusal to leave Bran's side is starting to cause problems for the smooth running of the castle. Robb offers to work with Maester Luwin to put the castle to rights. There is then a fire in part of the castle, but this proves to be a distraction to allow an assassin to attempt to finish off Bran. Catelyn holds the assassin off long enough for Bran's direwolf to enter the chamber and tear out the assassin's throat.\n"", 'Jon and Tyrion discussing matters.', 'Traveling north, Jon and Tyrion talk, and Tyrion reveals that he reads books to sharpen his mind, his greatest asset and weapon. As it travels north, the party is joined by several, new recruits — rapists who chose to ""take the black,"" rather than face the knife. Tyrion tells Jon that the Night\'s Watch is not the noble institution it was once was, idealized with glorious knights defending the realm against the horrors lurking beyond the Wall, and says Jon is smarter than to believe the stories his wet-nurse told him about ""grumpkins and snarks and other monsters"".\n', ""In Winterfell, Catelyn goes to the tower from where Bran fell and finds a strand of blonde hair on the floor. She summons Robb, Theon, Luwin and the castle master at arms, Ser Rodrik Cassel and tells them that she suspects that the Lannisters tried to kill Bran because he might have seen something in the tower. Robb and Theon are all for making war, but Luwin schools them to caution. Catelyn decides that Ned must know the truth and resolves to travel south to King's Landing and meet him there. Ser Rodrik will escort Catelyn while Robb will remain in Winterfell to take charge of the castle in Catelyn's absence.\n""]"
6,season1,The_Kingsroad,At the Wall,"[""The Wall, as seen by Jon's party."", ""Jon's party crests a rise and sees the Wall before them. Benjen welcomes them, and Tyrion seems impressed by the Wall's sheer size.\n""]"
7,season1,The_Kingsroad,At the Inn at the Crossroads,"['On the Kingsroad, the royal party reaches the Crossroads Inn, a noted waystop on the way south to the capital. Prince Joffrey\'s bodyguard, Sandor Clegane, also known as ""the Hound,"" a man with half his face burned in a mysterious accident, introduces Sansa to Ser Ilyn Payne, the king\'s headsman, a frightening-looking man who had his tongue torn out on the orders of the Mad King many years ago. Joffrey saves Sansa from this unpleasantness and takes her for a walk along the riverbank. They find Arya practicing her sword work with Mycah, the son of the party\'s butcher. Joffrey pretends to take offense at Mycah using a sword on the sister of his betrothed and starts to gleefully cut Mycah\'s face with his sword, but an outraged Arya hits him on the head with a stick. Joffrey quickly becomes violent and threatens Arya at sword point, but before he can hurt her, Arya\'s direwolf, Nymeria, attacks Joffrey, biting at his arm. Mycah runs off, and Arya throws Joffrey\'s sword in the river before running off herself. Sansa tries to help Joffrey, but he spitefully tells her to leave him alone and go for help.\n', ""Arya, knowing that Nymeria will be punished for injuring the prince, forces the direwolf to flee by throwing a rock at her. She is then taken before the King, who is angered that a minor fracas has become a major incident, with his wife and new Hand blaming one another's children. Joffrey offers a false account of the incident, and asks Sansa to confirm it. Put in an impossible position, Sansa refuses to contradict him, enraging Arya. The King decides to let Ned discipline Arya while he will do the same to Joffrey, but Cersei demands that the direwolf be executed. When Nymeria cannot be found, Cersei spitefully requests that Sansa's direwolf Lady be killed instead, and Robert acquiesces, upsetting Sansa and further angering Arya.\n"", 'Furious, Eddard attends to the matter himself, passing the Hound arriving with Mycah\'s bloodied corpse. Eddard is shocked and disgusted, and when he asks if the Hound ran Mycah down, the Hound responds ""He ran, but not very fast."" Eddard kills Lady with a dagger, and hundreds of miles away, Bran awakens.\n']"
8,season1,The_Kingsroad,Recap,['A detailed recap of the episode scene by scene.\n']
9,season1,Lord_Snow,In King's Landing,"[""The Stark party arrives in King's Landing."", 'The royal party reaches King\'s Landing. Almost immediately, Lord Eddard Stark is asked to attend a meeting of the king\'s small council and to change his clothes, but he refuses to the latter. Before that he encounters Jaime Lannister in the throne room. Jaime is still unhappy that Eddard judged him dishonorable for killing the Mad King, the murderer of Eddard\'s father and brother, and for having the nerve to casually seat himself upon the Iron Throne after mayhem was through. Jaime is unrepentant about it. Eddard meets the council members: Lord Petyr ""Littlefinger"" Baelish, the king\'s Master of Coin and a friend of Eddard\'s wife from childhood; Grand Maester Pycelle, the king\'s adviser in all matters scientific and academic; Lord Renly Baratheon, the youngest of the king\'s two brothers and Master of Laws; and Varys, a eunuch and the Master of Whisperers (the head of the king\'s intelligence network).\n', 'Varys tells Eddard that the council members heard about his ""troubles on the Kingsroad"" and that they pray for Joffrey\'s recovery. Eddard grimly responds ""It\'s a shame no one prayed for the butcher\'s boy"", which visibly upsets Varys.\n', ""Eddard is stunned to learn that the crown is six million Gold Dragons in debt, half of which is to Lord Tywin Lannister. To make matters worse, King Robert has just ordered a lavish tournament to celebrate Eddard's appointment. He resolves to advise Robert to cancel the tournament, but the council is doubtful that the king will listen.\n"", 'Cersei and her son Joffrey.', 'Queen Cersei talks to Joffrey about the incident on the river. She tells him that when he is king, the truth will be whatever he decides it will be. Joffrey thinks there will be trouble with the Starks, and promises that when he is king, he will double their taxes, force them to contribute to a standing army and, should they object, crush them and install someone loyal, such as his great-uncle Kevan, as Warden of the North. Cersei points out that the North is too vast and wild to be militarily conquered by outsiders, and a king needs to be more clever. She also advises him to be kind to his betrothed Sansa Stark to avoid stirring up trouble for later, and concludes that ""Anyone who isn\'t us is an enemy.""\n', ""Arya and Sansa are still at odds over the incident with Joffrey and her direwolf. Eddard explains to Arya that Sansa was put in a difficult position by the king and queen, and while she shouldn't have lied, winning the long-term approval of Joffrey, her future husband, was important. Arya is unhappy with the situation, but Eddard mollifies her by allowing her to practice with her sword, Needle.\n"", ""Catelyn and Rodrik arrive in King's Landing."", ""Catelyn Stark and Ser Rodrik arrive at King's Landing and attempt to sneak into the city, but are spotted by one of Littlefinger's men. They are taken to meet Littlefinger at a brothel he owns, where Lord Varys is also waiting. He explains that one of his 'little birds' told him they were coming. Catelyn is angered by the way they've been treated, but asks Littlefinger for aid in finding the people who tried to have Bran killed. Littlefinger is able to answer this quickly stating that the elaborate dagger wielded by the assassin used to be his, but he lost it in a gamble with Tyrion Lannister.\n"", 'Eddard threatens Lord Baelish.', 'Littlefinger fetches Eddard to meet his wife, but Eddard suspects a trick and pushes Littlefinger up against a wall outside the brothel wanting to know what his game is. Catelyn then appears, and Eddard is pacified. After hearing her news, he vows to find the truth and expose the Lannisters to Robert. Littlefinger agrees to be his ally in this, for the affection he once bore Catelyn as a youngster.\n', ""Ravens arrive at King's Landing with news of Bran's recovery. Cersei fears he will expose their secret, but Jaime comforts her, confident they can outwit a child if need be.\n"", 'Jaime comforts Cersei.', 'Elsewhere, Robert swaps old war stories with Ser Barristan Selmy, a distinguished and famous knight and the commander of the Kingsguard. Summoning Jaime Lannister, Robert jokingly questions him about Aerys Targaryen\'s death, wondering if the Mad King died begging for mercy, but Jaime rather coldly replies that the master he betrayed died screaming the same words he\'d been saying since the siege of King\'s Landing began: ""Burn them all"".\n', ""Eddard has contracted a swordmaster, Syrio Forel, the former First Sword of Braavos, to teach Arya how to use her sword properly. Arya is thrilled, and 'the dance' begins. As Eddard watches them practice, his pleasure at seeing Arya happy sours when he realizes that a conflict between the Starks and Lannisters may be inevitable; his daughter may well be training herself for war.\n""]"
